0, 0, 384, 128, -1, -1, -1, -1
1, 0.011679, 66, 128, -1, -1, -1, -1
2, 0.023232, 1026, 4596, -1, -1, -1, -1
3, 0.467354, 5768, 30072, 37095.8, 88.6292, 0, -1
7, 0.412243, 1558, 7808, 85.149, 6.64037, -1, -1
6, 0.022373, 8526, 43158, 88.1267, 5.32411, -1, -1
7, 0.246475, 2928, 13913, 45.3735, 4.19929, -1, -1
8, 0.083123, 2928, 13777, 26.9265, 3.96402, -1, -1
9, 0.044965, 2928, 13777, 8.78937, 3.68124, -1, -1
7, 0.030136, 2705, 12604, 7.0709, 3.63407, -1, -1
4, 0.842137, 2705, 12604, 7.0709, 3.63407, -1, -1
5, 0.023947, 1179, 4965, 6.26003, 3.51943, -1, -1
-1, 1.36835, 1179, 4965, 6.26003, 3.51943, 0, 23
