0, 0, 384, 128, -1, -1, -1, -1
1, 0.021353, 66, 128, -1, -1, -1, -1
2, 0.028771, 1186, 5410, -1, -1, -1, -1
3, 0.427191, 4677, 24041, 4.34249e+06, 5298.84, 0, -1
7, 0.380791, 1580, 7688, 147.771, 5.3278, -1, -1
6, 0.027235, 10425, 53121, 141.369, 4.66524, -1, -1
7, 0.310017, 3780, 18147, 14.9062, 3.9131, -1, -1
8, 0.129311, 3780, 18011, 14.9062, 3.81145, -1, -1
9, 0.061288, 3780, 18011, 9.49598, 3.61817, -1, -1
7, 0.03985, 3432, 16301, 6.75135, 3.58582, -1, -1
4, 0.95266, 3432, 16301, 6.75135, 3.58582, -1, -1
5, 0.053249, 1550, 7007, 6.75135, 3.5065, -1, -1
-1, 1.48322, 1550, 7007, 6.75135, 3.5065, 0, 25
