0, 0, 36, 12, -1, -1, -1, -1
1, 0.000214, 8, 12, -1, -1, -1, -1
2, 0.017266, 624, 2420, -1, -1, -1, -1
3, 0.274597, 1600, 7741, 3629.49, 9.86083, 0, -1
7, 0.07951, 905, 4086, 22.5787, 4.61777, -1, -1
6, 0.014541, 5644, 27325, 19.1968, 4.39515, -1, -1
7, 0.185598, 2375, 10875, 16.5907, 4.00045, -1, -1
8, 0.067477, 2375, 10830, 12.188, 3.92837, -1, -1
9, 0.0365, 2375, 10830, 6.433, 3.75955, -1, -1
7, 0.02878, 2117, 9589, 5.60113, 3.72536, -1, -1
4, 0.413787, 2117, 9589, 5.60113, 3.72536, -1, -1
5, 0.023636, 993, 3754, 5.60113, 3.64313, -1, -1
-1, 0.7295, 993, 3754, 5.60113, 3.64313, 0, 19
