0, 0, 384, 128, -1, -1, -1, -1
1, 0.005405, 66, 128, -1, -1, -1, -1
2, 0.007605, 338, 1312, -1, -1, -1, -1
3, 0.614263, 10252, 54234, 1.05531e+06, 480.417, 0, -1
7, 0.556114, 1282, 6853, 1518.33, 12.8162, -1, -1
6, 0.012415, 4549, 23285, 1518.33, 9.53642, -1, -1
7, 0.165746, 2020, 10314, 397.141, 7.48117, -1, -1
8, 0.105546, 2020, 9969, 148.231, 5.77252, -1, -1
9, 0.02338, 2020, 9969, 36.6312, 4.83925, -1, -1
6, 0.005962, 2931, 13854, 36.6312, 4.78198, -1, -1
7, 0.088331, 1924, 9526, 27.8941, 4.74517, -1, -1
8, 0.043371, 1924, 9444, 24.5557, 4.61542, -1, -1
9, 0.028333, 1924, 9444, 20.5596, 4.44137, -1, -1
6, 0.004986, 2634, 12191, 20.5596, 4.44737, -1, -1
7, 0.063409, 1955, 9590, 20.5596, 4.43501, -1, -1
8, 0.033905, 1955, 9564, 17.556, 4.41106, -1, -1
9, 0.023936, 1955, 9564, 17.139, 4.351, -1, -1
6, 0.004976, 2533, 11649, 17.139, 4.3662, -1, -1
7, 0.054689, 1972, 9652, 17.139, 4.36462, -1, -1
8, 0.029721, 1972, 9640, 17.139, 4.3491, -1, -1
9, 0.01968, 1972, 9640, 16.9509, 4.31597, -1, -1
6, 0.005402, 2764, 12881, 17.9219, 4.40294, -1, -1
7, 0.060186, 2084, 10238, 14.2961, 4.28905, -1, -1
8, 0.032443, 2084, 10229, 14.2961, 4.26984, -1, -1
9, 0.021109, 2084, 10229, 14.2351, 4.22825, -1, -1
6, 0.00495, 2564, 11894, 14.3533, 4.25214, -1, -1
7, 0.051785, 2088, 10244, 14.2351, 4.23234, -1, -1
8, 0.028621, 2088, 10238, 7.96728, 4.22183, -1, -1
9, 0.021322, 2088, 10238, 7.86553, 4.20168, -1, -1
7, 0.030274, 2078, 10200, 7.86553, 4.20351, -1, -1
4, 1.53061, 2078, 10200, 7.86553, 4.20351, -1, -1
5, 0.02934, 1029, 3404, 7.25522, 4.40338, -1, -1
-1, 2.18723, 1029, 3404, 7.25522, 4.40338, 0, 35
