0, 0, 36, 12, -1, -1, -1, -1
1, 0.000238, 8, 12, -1, -1, -1, -1
2, 0.016482, 568, 2178, -1, -1, -1, -1
3, 0.240094, 1596, 7769, 1483.07, 25.4567, 0, -1
7, 0.088892, 846, 3791, 791.581, 6.83141, -1, -1
6, 0.015269, 5201, 25076, 791.581, 5.13563, -1, -1
7, 0.194098, 2064, 9542, 21.7007, 4.14576, -1, -1
8, 0.069649, 2064, 9467, 13.762, 4.02811, -1, -1
9, 0.035429, 2064, 9467, 6.44313, 3.80782, -1, -1
7, 0.026655, 1833, 8302, 6.44313, 3.77771, -1, -1
4, 0.43124, 1833, 8302, 6.44313, 3.77771, -1, -1
5, 0.023562, 862, 3288, 6.07328, 3.72429, -1, -1
-1, 0.711616, 862, 3288, 6.07328, 3.72429, 0, 19
